Button(240,270)	Register(700,520)	RAM(930,500)[0]	RAM(930,500)[1]	RAM(930,500)[2]	RAM(930,500)[3]	RAM(930,500)[4]	RAM(930,500)[5]	RAM(930,500)[6]	RAM(930,500)[7]	RAM(930,500)[8]	RAM(930,500)[9]	RAM(930,500)[10]	RAM(930,500)[11]	RAM(930,500)[12]	RAM(930,500)[13]	RAM(930,500)[14]	RAM(930,500)[15]
0	0c	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
0	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
0	0c	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
1	0c	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
0	0c	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
1	0c	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
0	dc	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
1	dc	dc	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
0	dc	dc	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
1	dc	dc	00	00	dc	00	00	00	00	00	00	00	00	00	00	00	00
0	dc	dc	00	00	dc	00	00	00	00	00	00	00	00	00	00	00	00
1	dc	dc	00	00	dc	00	00	00	00	00	00	00	00	00	00	00	00
0	d1	dc	00	00	dc	00	00	00	00	00	00	00	00	00	00	00	00
1	d1	dc	00	00	dc	00	00	00	00	00	00	00	00	00	00	00	00
0	11	dc	00	00	dc	00	00	00	00	00	00	00	00	00	00	00	00
1	11	dc	00	00	dc	00	00	00	00	00	00	00	00	00	00	00	00
0	dc	dc	00	00	dc	00	00	00	00	00	00	00	00	00	00	00	00
1	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
0	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
1	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
0	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
1	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
0	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
1	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
0	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
1	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
0	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
1	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
0	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
1	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
0	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
1	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
0	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
1	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
0	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
1	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
0	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
1	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
0	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
1	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
0	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
1	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
0	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
1	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
0	dc	dc	00	00	dc	dc	00	00	00	00	00	00	00	00	00	00	00
